# proper	bayer	flam	hr	hd	hip	con	ra_rad	dec_rad	mag	dist_pc
Schedar	Alp	18	168	3712	3179	Cas	0.1767449	0.9867626	2.240	69.979
Eltanin	Gam	33	6705	164058	87833	Dra	4.6975808	0.8986507	2.240	47.304
Mintaka	Del	34	1852	36486	25930	Ori	1.4486524	-0.0052201	2.250	212.314
Caph	Bet	11	21	432	746	Cas	0.0400259	1.0323584	2.280	16.784
	Eps		5132	118716	66657	Cen	3.5774351	-0.9331646	2.290	131.062
Dschubba	Del	7	5953	143275	78401	Sco	4.1902451	-0.3948233	2.290	150.602
Larawag	Eps	26	6241	151680	82396	Sco	4.4076754	-0.5985298	2.290	19.535
Uridim	Alp		5469	129056	71860	Lup	3.8481428	-0.8270801	2.300	142.450
	Eta		5440	127972	71352	Cen	3.8201207	-0.7357928	2.330	93.721
Merak	Bet	48	4295	95418	53910	UMa	2.8878246	0.9840590	2.340	24.450
Izar	Eps	36	5505	129988	72105	Boo	3.8614843	0.4725343	2.350	62.112
Enif	Eps	8	8308	206778	107315	Peg	5.6905848	0.1723515	2.380	211.417
	Kap		6580	160578	86670	Sco	4.6359782	-0.6812017	2.390	148.148
Ankaa	Alp		99	2261	2081	Phe	0.1146829	-0.7383787	2.400	25.974
Phecda	Gam	64	4554	103287	58001	UMa	3.1146712	0.9371504	2.410	25.504
Sabik	Eta	35	6378	155125	84012	Oph	4.4958726	-0.2744515	2.430	27.093
Scheat	Bet	53	8775	217906	113881	Peg	6.0378533	0.4901371	2.440	60.096
Aludra	Eta	31	2827	58350	35904	CMa	1.9377302	-0.5114356	2.450	609.756
Alderamin	Alp	5	8162	203280	105199	Cep	5.5788482	1.0923243	2.450	15.038
Markeb	Kap		3734	81188	45941	Vel	2.4526838	-0.9601173	2.470	175.439
Aljanah	Eps	53	7949	197989	102488	Cyg	5.4376198	0.5928928	2.480	22.292
Markab	Alp	54	8781	218045	113963	Peg	6.0421591	0.2653819	2.490	40.883
Menkar	Alp	92	911	18884	14135	Cet	0.7953445	0.0713793	2.540	76.394
	Zet	13	6175	149757	81377	Oph	4.3509268	-0.1844305	2.540	112.233
Leepwal	Zet		5231	121263	68002	Cen	3.6457311	-0.8253378	2.550	117.096
Zosma	Del	68	4357	97603	54872	Leo	2.9413522	0.3582064	2.560	17.915
Acrab	Bet-1	8	5984	144217	78820	Sco	4.2125144	-0.3456704	2.560	123.916
Arneb	Alp	11	1865	36673	25985	Lep	1.4518097	-0.3110576	2.580	680.272
	Del		4621	105435	59196	Cen	3.1780639	-0.8852733	2.580	127.227
Gienah	Gam	4	4662	106625	59803	Crv	3.2105604	-0.3061644	2.580	47.103
Ascella	Zet	38	7194	176687	93506	Sgr	4.9855850	-0.5215062	2.600	27.042
Zubeneschamali	Bet	27	5685	135742	74785	Lib	4.0011975	-0.1637628	2.610	56.754
Unukalhai	Alp	24	5854	140573	77070	Ser	4.1201460	0.1121483	2.630	22.676
Sheratan	Bet	6	553	11636	8903	Ari	0.5002117	0.3631687	2.640	17.986
Phact	Alp		1956	37795	26634	Col	1.4819983	-0.5947054	2.650	80.128
Mahasim	The	37	2095	40312	28380	Aur	1.5695792	0.6494821	2.650	50.761
Kraz	Bet	9	4786	109379	61359	Crv	3.2916353	-0.4083505	2.650	44.663
Ruchbah	Del	37	403	8538	6686	Cas	0.3744296	1.0513040	2.660	30.479
Muphrid	Eta	8	5235	121370	67927	Boo	3.6419990	0.3211007	2.680	11.396
	Bet		5571	132058	73273	Lup	3.9205865	-0.7528296	2.680	117.371
Hassaleh	Iot	3	1577	31398	23015	Aur	1.2958792	0.5788575	2.690	151.286
	Mu		4216	93497	52727	Vel	2.8220635	-0.8625462	2.690	35.919
	Alp		4798	109668	61585	Mus	3.3038399	-1.2066432	2.690	96.712
Lesath	Ups	34	6508	158408	85696	Sco	4.5848226	-0.6509347	2.700	176.678
	Pi		2773	56855	35264	Pup	1.9073946	-0.6474730	2.710	247.525
Kaus Media	Del	19	6859	168454	89931	Sgr	4.8039925	-0.5205986	2.720	106.610
Tarazed	Gam	50	7525	186791	97278	Aql	5.1760342	0.1852364	2.720	121.065
Yed Prior	Del	1	6056	146051	79593	Oph	4.2513849	-0.0644781	2.730	52.466
Athebyne	Eta	14	6132	148387	80331	Dra	4.2934734	1.0736256	2.730	28.233
	The		4199	93030	52419	Car	2.8054288	-1.1238952	2.740	139.665
Porrima	Gam	29	4825	110379	61941	Vir	3.3233718	-0.0252964	2.740	11.685
Hatysa	Iot	44	1899	37043	26241	Ori	1.4636027	-0.1031472	2.750	714.286
Kulou	Iot		5028	115892	65109	Cen	3.4932668	-0.6407504	2.750	18.021
Zubenelgenubi	Alp-2	9	5531	130841	72622	Lib	3.8871912	-0.2799818	2.750	23.240
Cebalrai	Bet	60	6603	161096	86742	Oph	4.6402744	0.0797145	2.760	25.094
Cursa	Bet	67	1666	33111	23875	Eri	1.3432480	-0.0887752	2.780	27.397
Kornephoros	Bet	27	6148	148856	80816	Her	4.3206501	0.3750645	2.780	42.662
Rasalgethi	Alp-1	64	6406	156014	84345	Her	4.5145020	0.2511587	2.780	110.254
Imai	Del		4656	106490	59747	Cru	3.2076778	-1.0253622	2.790	105.820
Rastaban	Bet	23	6536	159181	85670	Dra	4.5833777	0.9128314	2.790	116.550
	Gam		5776	138690	76297	Lup	4.0803217	-0.7184955	2.800	129.032
Nihal	Bet	9	1829	36079	25606	Lep	1.4322407	-0.3623206	2.810	49.164
	Zet	40	6212	150680	81693	Her	4.3689378	0.5515716	2.810	10.716
	Bet		98	2151	2021	Hyi	0.1120281	-1.3483410	2.820	7.459
Paikauhale	Tau	23	6165	149438	81266	Sco	4.3453575	-0.4924624	2.820	145.349
Kaus Borealis	Lam	22	6913	169916	90496	Sgr	4.8344343	-0.4436924	2.820	23.969
Algenib	Gam	88	39	886	1067	Peg	0.0577524	0.2650037	2.830	120.048
Tureis	Rho	15	3185	67523	39757	Pup	2.1273130	-0.4241905	2.830	19.482
	Bet		5897	141891	77952	TrA	4.1676061	-1.1070750	2.830	12.378
	Zet	44	1203	24398	18246	Per	1.0215936	0.5564744	2.840	230.415
	Bet		6461	157244	85258	Ara	4.5609811	-0.9691793	2.840	198.020
	Alp		6510	158427	85792	Ara	4.5895253	-0.8705029	2.840	81.967
Alcyone	Eta	25	1165	23630	17702	Tau	0.9925888	0.4207140	2.850	123.609
Vindemiatrix	Eps	47	4932	113226	63608	Vir	3.4128895	0.1912733	2.850	33.602
Deneb Algedi	Del	49	8322	207098	107556	Cap	5.7030407	-0.2814742	2.850	11.867
Castor B	Alp	66	2890	60178		Gem	1.9836087	0.5565946	2.850	15.805
	Alp		591	12311	9236	Hyi	0.5182192	-1.0745968	2.860	22.012
Fawaris	Del	18	7528	186882	97165	Cyg	5.1704264	0.7876812	2.860	50.582
Tejat	Mu	13	2286	44478	30343	Gem	1.6709800	0.3929362	2.870	71.023
	Gam		5671	135382	74946	TrA	4.0095049	-1.1986842	2.870	56.370
Lang-Exster	Alp		8502	211416	110130	Tuc	5.8403179	-1.0517282	2.870	61.237
Acamar	The-1		897	18622	13847	Eri	0.7778121	-0.7034492	2.880	49.431
Albaldah	Pi	41	7264	178524	94141	Sgr	5.0167913	-0.3669313	2.880	156.250
Gomeisa	Bet	3	2845	58715	36188	CMi	1.9510631	0.1446758	2.890	49.579
Cor Caroli	Alp-2	12	4915	112413	63125	CVn	3.3860627	0.6687819	2.890	35.199
Fang	Pi	6	5944	143018	78265	Sco	4.1837806	-0.4557771	2.890	179.533
	Eps	45	1220	24760	18532	Per	1.0378330	0.6983100	2.900	195.695
Alniyat	Sig	20	6084	147165	80112	Sco	4.2812430	-0.4466786	2.900	213.675
Sadalsuud	Bet	22	8232	204867	106278	Aqr	5.6354888	-0.0972353	2.900	164.745
	Gam	23	915	18925	14328	Per	0.8063269	0.9338635	2.910	74.571
	Ups		3890	85123	48002	Car	2.5617165	-1.1357208	2.920	440.529
Matar	Eta	44	8650	215182	112158	Peg	5.9472193	0.5274602	2.930	65.703
	Tau		2553	50310	32768	Pup	1.7886830	-0.8833907	2.940	55.804
Algorab	Del	7	4757	108767	60965	Crv	3.2719004	-0.2882487	2.940	26.631
Sadalmelik	Alp	34	8414	209750	109074	Aqr	5.7848237	-0.0055824	2.950	160.514
Zaurak	Gam	34	1231	25025	18543	Eri	1.0385993	-0.2357681	2.970	62.344
Tianguan	Zet	123	1910	37202	26451	Tau	1.4732532	0.3690071	2.970	136.426
Ras Elased Australis	Eps	17	3873	84441	47908	Leo	2.5562583	0.4149390	2.970	75.643
Alnasl	Gam-2	10	6746	165135	88635	Sgr	4.7377320	-0.5310006	2.980	29.700
	Gam	46	5020	115659	64962	Hya	3.4859529	-0.4044192	2.990	41.034
	Iot-1		6615	161471	87073	Sco	4.6582170	-0.7003482	2.990	591.716
Okab	Zet	17	7235	177724	93747	Aql	4.9977945	0.2419633	2.990	25.458
	Bet	4	622	13161	10064	Tri	0.5652400	0.6106435	3.000	38.895
	Psi	52	4335	96833	54539	UMa	2.9219592	0.7766451	3.000	44.307
Pherkad	Gam	13	5735	137422	75097	UMi	4.0174380	1.2537401	3.000	149.254
Xamidimura	Mu-1		6247	151890	82514	Sco	4.4151182	-0.6640520	3.000	153.610
Aldhanab	Gam		8353	207971	108085	Gru	5.7330946	-0.6521397	3.000	64.725
	Del	39	1122	22928	17358	Per	0.9726935	0.8340501	3.010	158.228
Furud	Zet	1	2282	44402	30122	CMa	1.6594294	-0.5247047	3.020	111.111
	Omi-2	24	2653	53138	33977	CMa	1.8457928	-0.4159694	3.020	847.458
	Eps	2	4630	105707	59316	Crv	3.1857701	-0.3947894	3.020	97.466
Almaaz	Eps	7	1605	31964	23416	Aur	1.3175879	0.7648610	3.030	653.595
	Bet		4844	110879	62322	Mus	3.3435306	-1.1887109	3.040	104.712
Seginus	Gam	27	5435	127762	71075	Boo	3.8051589	0.6686051	3.040	26.610
Albireo	Bet-1	6	7417	183912	95947	Cyg	5.1082355	0.4879885	3.050	133.156
Dabih	Bet	9	7776	193495	100345	Cap	5.3276666	-0.2579835	3.050	100.200
Mebsuta	Eps	27	2473	48329	32246	Gem	1.7624863	0.4386209	3.060	259.067
Tania Australis	Mu	34	4069	89758	50801	UMa	2.7154237	0.7243032	3.060	70.621
Altais	Del	57	7310	180711	94376	Dra	5.0289633	1.1809167	3.070	29.869
	Eta		6832	167618	89642	Sgr	4.7893037	-0.6416125	3.100	44.743
	Zet	16	3547	76294	43813	Hya	2.3360961	0.1037697	3.110	51.256
	Nu		4232	93813	52943	Hya	2.8345228	-0.2826325	3.110	44.072
	Lam		4467	100841	56561	Cen	3.0359209	-1.0999037	3.110	128.700
	Alp		7869	196171	101772	Ind	5.3999046	-0.8253924	3.110	30.148
Wazn	Bet		2040	39425	27628	Col	1.5313508	-0.6242748	3.120	26.731
Talitha	Iot	9	3569	76644	44127	UMa	2.3527461	0.8384880	3.120	14.510
	Zet		6285	152786	83081	Ara	4.4445697	-0.9772123	3.120	149.031
Sarin	Del	65	6410	156164	84379	Her	4.5161785	0.4335259	3.120	23.036
	Kap		5576	132200	73334	Cen	3.9233321	-0.7348568	3.130	117.509
	Alp	40	3705	80493	45860	Lyn	2.4480664	0.6002634	3.140	62.267
	Pi	67	6418	156283	84380	Her	4.5162458	0.6424411	3.160	115.473
Pipit	Nu		2451	47670	31685	Pup	1.7355606	-0.7539113	3.170	113.895
	The	25	3775	82328	46853	UMa	2.4995858	0.9019390	3.170	13.479
Aldhibah	Zet	22	6396	155763	83895	Dra	4.4889296	1.1469376	3.170	100.705
	Phi	27	7039	173300	92041	Sgr	4.9116025	-0.4710779	3.170	73.368
Haedus	Eta	10	1641	32630	23767	Aur	1.3374230	0.7196773	3.180	74.627
Xami	Alp		5463	128898	71908	Cir	3.8506743	-1.1340301	3.180	16.570
Tabit	Pi-3	1	1543	30652	22449	Ori	1.2646662	0.1214972	3.190	8.068
	Eps	2	1654	32887	23685	Lep	1.3328253	-0.3904482	3.190	65.402
	Kap	27	6299	153210	83000	Oph	4.4404157	0.1636252	3.190	28.043
Fuyue			6630	161892	87261	Sco	4.6681358	-0.6465276	3.190	38.580
	Zet	64	8115	202109	104732	Cyg	5.5542329	0.5275592	3.210	43.879
Errai	Gam	35	8974	222404	116727	Cep	6.1930793	1.3549388	3.210	14.102
	Del		5695	136298	75141	Lup	4.0202441	-0.7094330	3.220	271.003
Yed Posterior	Eps	2	6075	146791	79882	Oph	4.2687327	-0.0818998	3.230	32.637
	Eta	58	6869	168723	89962	Ser	4.8053715	-0.0505940	3.230	18.543
Alfirk	Bet	8	8238	205021	106032	Cep	5.6228387	1.2315168	3.230	210.084
	Alp		2550	50241	32607	Pic	1.7810719	-1.0810812	3.240	29.603
Antinous	The	65	7710	191692	99473	Aql	5.2853141	-0.0143372	3.240	87.796
	Sig		2878	59717	36377	Pup	1.9601388	-0.7557526	3.250	59.382
	Pi	49	5287	123123	68895	Hya	3.6929926	-0.4656951	3.250	30.960
Brachium	Sig	20	5603	133216	73714	Lib	3.9447510	-0.4412535	3.250	88.417
Sulafat	Gam	14	7178	176437	93194	Lyr	4.9695795	0.5705404	3.250	190.114
	Gam		1208	24512	17678	Hyi	0.9915115	-1.2957143	3.260	65.617
	Del	31	165	3627	3092	And	0.1715997	0.5386265	3.270	32.352
	The	42	6453	157056	84970	Oph	4.5466248	-0.4363244	3.270	133.690
Skat	Del	76	8709	216627	113136	Aqr	5.9980431	-0.2761254	3.270	49.237
	Mu	5	1702	33904	24305	Lep	1.3654220	-0.2828388	3.290	57.013
	Ome		4037	89080	50099	Car	2.6779356	-1.2223920	3.290	104.822
Edasich	Iot	12	5744	137759	75458	Dra	4.0357669	1.0291520	3.290	31.027
	Alp		1465	29305	21281	Dor	1.1955325	-0.9607160	3.300	51.706
Propus	Eta	7	2216	42995	29655	Gem	1.6357124	0.3928177	3.310	117.924
	Gam		6462	157246	85267	Ara	4.5613932	-0.9839770	3.310	341.297
	Bet		322	6595	5165	Phe	0.2883477	-0.8153901	3.320	0.000
	Rho	25	921	19058	14354	Per	0.8079836	0.6778907	3.320	94.340
Megrez	Del	69	4660	106591	59774	UMa	3.2088976	0.9954069	3.320	24.685
	Eta		6380	155203	84143	Sco	4.5036177	-0.7546662	3.320	22.528
	Nu	64	6698	163917	88048	Oph	4.7081414	-0.1705821	3.320	46.211
	Tau	40	7234	177716	93864	Sgr	5.0044707	-0.4829400	3.320	37.286
Rhombus	Alp		1336	27256	19780	Ret	1.1101352	-1.0903745	3.330	49.554
Chertan	The	70	4359	97633	54879	Leo	2.9419275	0.2692968	3.330	50.607
Azmidi	Xi	7	3045	63700	38170	Pup	2.0476825	-0.4338851	3.340	367.647
Segin	Eps	45	542	11415	8886	Cas	0.4991425	1.1112529	3.350	126.263
	Eta	28	1788	35411	25281	Ori	1.4157978	-0.0418381	3.350	299.401
Alzirr	Xi	31	2484	48737	32362	Gem	1.7684088	0.2250705	3.350	17.999
Muscida	Omi	1	3323	71369	41704	UMa	2.2264548	1.0597320	3.350	54.915
	Del	30	7377	182640	95501	Aql	5.0854458	0.0543631	3.360	15.525
	Eps		5708	136504	75264	Lup	4.0259565	-0.7799810	3.370	156.986
Ashlesha	Eps	11	3482	74874	43109	Hya	2.2984904	0.1120294	3.380	39.635
Heze	Zet	79	5107	118098	66249	Vir	3.5547697	-0.0103990	3.380	22.712
Meissa	Lam	39	1879	36861	26207	Ori	1.4623152	0.1733838	3.390	336.700
Minelauva	Del	43	4910	112300	63090	Vir	3.3842086	0.0592970	3.390	60.827
	Zet	21	8465	210745	109492	Cep	5.8069482	1.0158036	3.390	256.410
Chamukuy	The-2	78	1412	28319	20894	Tau	1.1722604	0.2769992	3.400	46.104
	Gam		429	9053	6867	Phe	0.3855673	-0.7560458	3.410	71.633
	Lam	35	1239	25204	18724	Tau	1.0501658	0.2179977	3.410	148.368
Heng	Nu		5190	120307	67464	Cen	3.6193971	-0.7275878	3.410	133.869
	Zet		5649	134505	74395	Lup	3.9805969	-0.9093034	3.410	35.971
	Eta	3	7957	198149	102422	Cep	5.4335968	1.0792903	3.410	14.265
Homam	Zet	42	8634	214923	112029	Peg	5.9404986	0.1890430	3.410	62.657
Mothallah	Alp	2	544	11443	8796	Tri	0.4934123	0.5162480	3.420	19.418
	Eta		5948	143118	78384	Lup	4.1893233	-0.6701489	3.420	135.501
	Mu	86	6623	161797	86974	Her	4.6533059	0.4838171	3.420	8.310
	Bet		7913	197051	102395	Pav	5.4321577	-1.1554640	3.420	41.425
Adhafera	Zet	36	4031	89025	50335	Leo	2.6908189	0.4087092	3.430	84.034
	Lam	16	7236	177756	93805	Aql	5.0014547	-0.0852166	3.430	37.922
Tania Borealis	Lam	33	4033	89021	50372	UMa	2.6925942	0.7489970	3.450	42.158
Achird	Eta	24	219	4614	3821	Cas	0.2142199	1.0090654	3.460	5.953
	Eta	31	334	6805	5364	Cet	0.2992796	-0.1777140	3.460	37.994
	Chi		3117	65575	38827	Car	2.0803398	-0.9247166	3.460	139.470
	Del	49	5681	135722	74666	Boo	3.9946335	0.5814535	3.460	37.341
Kaffaljidhma	Gam	86	804	16970	12706	Cet	0.7125335	0.0564757	3.470	24.408
	Mu		5193	120324	67472	Cen	3.6198851	-0.7413065	3.470	155.039
	Eta	30	3975	87737	49583	Leo	2.6499881	0.2925637	3.480	389.105
	Eta	44	6220	150997	81833	Her	4.3759593	0.6793215	3.480	33.311
	Tau	52	509	10700	8102	Cet	0.4540854	-0.2781615	3.490	3.650
Nganurganity	Sig	22	2646	52877	33856	CMa	1.8400969	-0.4875548	3.490	343.643
Alula Borealis	Nu	54	4377	98262	55219	UMa	2.9604231	0.5776046	3.490	122.399
Nekkar	Bet	42	5602	133208	73555	Boo	3.9354825	0.7049484	3.490	69.061
	Alp		6897	169467	90422	Tel	4.8300838	-0.8023010	3.490	85.179
	Eps		8675	215789	112623	Gru	5.9714448	-0.8956482	3.490	39.526
	Kap	13	2538	50013	32759	CMa	1.7882687	-0.5673800	3.500	202.020
Wasat	Del	55	2777	56986	35550	Gem	1.9203987	0.3836639	3.500	18.539
	Iot	32	8694	216228	112724	Cep	5.9763618	1.1554151	3.500	35.348
	Gam	12	7635	189319	98337	Sge	5.2305645	0.3402022	3.510	79.239
Sadalbari	Mu	48	8684	216131	112748	Peg	5.9777661	0.4293786	3.510	32.531
Rana	Del	23	1136	23249	17378	Eri	0.9741048	-0.1704034	3.520	9.041
Subra	Omi	14	3852	83808	47508	Leo	2.5357477	0.1726533	3.520	39.952
	Phi		3940	86440	48774	Vel	2.6043037	-0.9523876	3.520	487.805
Sheliak	Bet	10	7106	174638	92420	Lyr	4.9309038	0.5822884	3.520	294.985
	Xi-2	37	7150	175775	93085	Sgr	4.9642836	-0.3683806	3.520	111.982
Biham	The	26	8450	210418	109427	Peg	5.8040913	0.1081731	3.520	28.297
	Gam	29	4826	110380		Vir	3.3233262	-0.0252939	3.520	11.830
Ain	Eps	74	1409	28305	20889	Tau	1.1720610	0.3347617	3.530	44.964
Tarf	Bet	17	3249	69267	40526	Cnc	2.1664569	0.1603180	3.530	93.023
	Xi		4450	100407	56343	Hya	3.0237929	-0.5560204	3.540	39.746
	Mu	32	5881	141513	77516	Ser	4.1434995	-0.0598684	3.540	52.002
	Xi	55	6561	159876	86263	Ser	4.6145925	-0.2687555	3.540	32.279
	Ups-4	41	1347	27376	20042	Eri	1.1252759	-0.5898925	3.550	54.555
	Zet	14	1998	38678	27288	Lep	1.5138798	-0.2586918	3.550	21.608
	Iot		5354	125238	69996	Lup	3.7498563	-0.8038654	3.550	103.627
	Chi	44	6927	170153	89937	Dra	4.8042114	1.2694276	3.550	8.057
	Del		7665	190248	99240	Pav	5.2739898	-1.1550950	3.550	6.108
	Iot	8	74	1522	1562	Cet	0.0847703	-0.1540065	3.560	84.175
	Phi		674	14228	10602	Eri	0.5956338	-0.8990569	3.560	47.125
	Del	12	4382	98430	55282	Crt	2.9641836	-0.2579342	3.560	56.948
Pipirima	Mu-2		6252	151985	82545	Sco	4.4171481	-0.6635312	3.560	145.349
	Kap	77	2985	62345	37740	Gem	2.0265349	0.4258253	3.570	43.346
Alkaphrah	Kap	12	3594	77327	44471	UMa	2.3720142	0.8230366	3.570	109.890
	Rho	25	5429	127665	71053	Boo	3.8040759	0.5300816	3.570	49.092
	Phi-1		5705	136422	75177	Lup	4.0221391	-0.6328804	3.570	84.317
	Lam	54	2763	56537	35350	Gem	1.9115413	0.2886841	3.580	30.931
Algedi	Alp-2	6	7754	192947	100064	Cap	5.3147642	-0.2189490	3.580	32.447
Nembus		51	464	9927	7607	And	0.4275721	0.8487224	3.590	54.318
	Tau	20	1735	34503	24674	Ori	1.3858198	-0.1194575	3.590	151.515
	Gam	13	1983	38393	27072	Lep	1.5030051	-0.3917982	3.590	8.927
Zavijava	Bet	5	4540	102870	57757	Vir	3.1009933	0.0308001	3.590	10.929
Ginan	Eps		4700	107446	60260	Cru	3.2348013	-1.0541989	3.590	70.472
	The	45	402	8512	6537	Cet	0.3666214	-0.1428248	3.600	34.892
	The	34	2540	50019	33018	Gem	1.8011317	0.5927357	3.600	57.971
	Omi		3447	74195	42536	Vel	2.2702076	-0.9236612	3.600	151.286
	Psi		3786	82434	46651	Vel	2.4901505	-0.7062784	3.600	18.815
	Ups	39	5794	139063	76470	Lib	4.0885393	-0.4910498	3.600	68.587
	Del		6500	158094	85727	Ara	4.5862850	-1.0591330	3.600	60.680
